,Parameter,+10%,-10%
gZ,gZ,37.3939961550006,-1.0166835459893535
lSZ,lSZ,29.561516191563065,-4.258584951840815
lZZ,lZZ,20.97602592589606,-7.180956862526442
kP,kP,15.805652936961462,-2.725367379426119
u0200,u0200,13.745297065914535,-1.921180034095787
A0Z,A0Z,5.048715860111424,-3.26101496079972
nSu200,nSu200,4.633501317979148,-1.5782786452455029
nSZ,nSZ,4.177786781742514,-2.22181261145037
gammaC,gammaC,2.953004085115927,-2.3867935789347086
nAtoZ,nAtoZ,1.5817858685909805,-2.342677813929407
gammau200,gammau200,0.3070657751883263,-9.744136318204244
H,H,0.20492047837112615,-3.1180413565371072
gP,gP,-0.0836824070054096,-3.3509420783470736
gammaA,gammaA,-0.7352705715605161,-2.436785964710238
tau_A,tau_A,-0.7459517077949039,-2.7444771679074993
nu200,nu200,-0.8658442216121658,-0.8658442216121658
tau_C,tau_C,-0.9574616643130668,-2.9811603879680906
b,b,-1.1718889083552195,-2.5108950775791796
lZu200,lZu200,-1.2780404160551742,-1.2270679519532546
nA,nA,-1.7224834389919133,-3.13830419319144
nZtoA,nZtoA,-1.920186793099414,-1.9261232065530074
lAtoZ,lAtoZ,-2.0421417342433843,-2.373208147560432
nZu200,nZu200,-2.2357098448520367,-0.8658442216121658
gammaPH,gammaPH,-2.277195674496531,-2.277195674496531
Z0A,Z0A,-2.2969095378783626,-2.2432745806037837
nC,nC,-2.7675922643016007,-3.189285692402123
gammaPU,gammaPU,-2.907430215864695,-2.2138107465461947
Z0u200,Z0u200,-2.9110539288437987,-1.8171429005455868
a,a,-3.074615902599357,-2.372589393753257
lAtoC,lAtoC,-3.1218858642712113,-1.9254700173710209
gammaPM,gammaPM,-3.50459955330578,-2.277195674496531
lZtoA,lZtoA,-3.608092673566114,-2.24813602365107
P0_A,P0_A,-3.800621594260488,-3.140512418942783
lMtoA,lMtoA,-5.065638974545253,-2.030128135231555
gA,gA,-5.1078676499124676,-2.964524702202424
lSu200,lSu200,-5.697481522333239,-0.8668592614046208
gH,gH,-11.849085976062753,-1.7865006681644515
gC,gC,-13.11449778173671,-2.5526415794855075
A0,A0,-14.745059957470913,-2.2695495216268413
km,km,-19.872845838700133,-0.5729419378733097
nZZ,nZZ,-40.36788172623423,-1.2317041838798584
S0Z,S0Z,-46.1720550528419,-1.9383364036157333
Z0Z,Z0Z,-51.336176556890265,0.04116807271358966
gammaZ,gammaZ,-65.2526131581034,-7.137063450814813
gu200,gu200,-72.55398387933732,2.2710000460536555
S0u200,S0u200,-74.8274944198395,-4.075719240409107
