,Parameter,+10%,-10%
gA,gA,9.225392877408959,-0.3592951143380898
gC,gC,7.529610005400573,-0.7531855392070889
gH,gH,6.8360965390641,-1.679286372747845
lZtoA,lZtoA,6.370753308631182,-2.4430244225258737
P0_A,P0_A,5.867290235963421,-1.766235676919774
nA,nA,3.6854812445434053,-0.7542188610666739
tau_A,tau_A,2.340002025014698,-0.04413818693694274
tau_C,tau_C,2.0794884394497255,-0.3148172057929409
nC,nC,1.2158762844685203,-0.9924949157582524
gammaZ,gammaZ,0.9132569482793307,0.024589340694989907
a,a,0.4565224160413428,-0.5005325113709111
km,km,0.2556197767334673,0.0030377730297609924
gammau200,gammau200,0.15371438538878332,0.06294885621901646
Z0u200,Z0u200,0.1370068592963333,0.015050717834094103
S0Z,S0Z,0.13656087383561047,0.02502732761922007
u0200,u0200,0.11104459921986547,0.016369644476137476
gammaPU,gammaPU,0.07874148230349665,-0.8687205328445832
nSu200,nSu200,0.07019187826645108,0.015247515896167215
lZu200,lZu200,0.06154889299314591,0.031128291122202868
S0u200,S0u200,0.04993827216611438,0.030592448506615598
lSZ,lSZ,0.04345893151208061,0.045983035771211676
lZZ,lZZ,0.02807933562770094,0.07390830994983477
kP,kP,0.027778161153460143,0.009784340973091986
lSu200,lSu200,0.01929724221146311,0.0324520842148094
nu200,nu200,0.018946329002294374,0.018946329002294374
nZu200,nZu200,0.004350377808398393,0.018946329002294374
nSZ,nSZ,-0.0014292941671628734,0.01802475853604369
gZ,gZ,-0.018670611692600758,0.017489689144485582
gu200,gu200,-0.0520160117349865,0.008889472977940214
Z0Z,Z0Z,-0.09265377584217648,0.02638862093272338
nZZ,nZZ,-0.14374532341777166,0.03378954763720336
gammaPH,gammaPH,-0.7794349596237548,-0.7794349596237548
A0,A0,-0.8853313616741487,-1.8845378954557095
gammaPM,gammaPM,-1.1016463458223409,-0.7794349596237548
nAtoZ,nAtoZ,-1.4440082734876454,-1.6078847009047086
lAtoZ,lAtoZ,-1.6300717263332702,-1.6026332175007298
nZtoA,nZtoA,-1.6459760193732325,-1.5968352022918773
lAtoC,lAtoC,-2.0310272116153807,-1.602015089378566
Z0A,Z0A,-2.346170603377937,-2.4517494517372476
A0Z,A0Z,-2.516951733737279,-2.446225193630776
lMtoA,lMtoA,-4.430895030964324,-1.6399021190177523
H,H,-4.689240293236447,0.5438574929118004
gP,gP,-4.791273511565132,0.1465454548851773
gammaA,gammaA,-5.536618553313797,-0.41036001757832274
b,b,-7.844841764552631,0.22534806237237962
gammaC,gammaC,-11.30189200074065,-0.8085967019304627
