,Parameter,+10%,-10%
P0_A,P0_A,2.445941155618608,0.14179369018085952
tau_A,tau_A,2.4104927330734434,0.5317263381779915
gA,gA,2.3395958879830743,-0.21269053527114826
tau_C,tau_C,2.1978021978022144,0.319035802906803
lMtoA,lMtoA,1.0634526763559426,0.2835873803616385
a,a,0.6735200283587705,0.6735200283587705
nC,nC,0.3899326479971723,0.319035802906803
nAtoZ,nAtoZ,0.3190358029068433,0.319035802906803
lZtoA,lZtoA,0.319035802906803,0.3190358029068433
A0Z,A0Z,0.319035802906803,0.3190358029068433
lAtoZ,lAtoZ,0.319035802906803,0.2835873803616385
nZtoA,nZtoA,0.2835873803616385,0.3190358029068433
Z0A,Z0A,0.2835873803616385,0.319035802906803
gammaPH,gammaPH,0.17724211272606435,0.17724211272606435
gammaPU,gammaPU,0.17724211272602405,0.17724211272606435
nA,nA,0.07089684509040962,0.3544842254519675
nSu200,nSu200,0.03544842254528541,4.030019061383058e-14
gZ,gZ,0.03544842254528541,0.0
kP,kP,0.03544842254528541,0.0
b,b,0.03544842254524511,0.7444168734491801
lZZ,lZZ,0.03544842254524511,0.03544842254520481
S0Z,S0Z,0.03544842254524511,8.060038122766116e-14
lZu200,lZu200,0.03544842254524511,4.030019061383058e-14
gammau200,gammau200,0.03544842254520481,8.060038122766116e-14
lAtoC,lAtoC,8.060038122766116e-14,0.3190358029068433
u0200,u0200,8.060038122766116e-14,8.060038122766116e-14
Z0Z,Z0Z,8.060038122766116e-14,4.030019061383058e-14
nSZ,nSZ,8.060038122766116e-14,0.0
H,H,8.060038122766116e-14,0.0
Z0u200,Z0u200,4.030019061383058e-14,0.03544842254524511
gu200,gu200,4.030019061383058e-14,8.060038122766116e-14
nZZ,nZZ,4.030019061383058e-14,8.060038122766116e-14
lSu200,lSu200,4.030019061383058e-14,4.030019061383058e-14
lSZ,lSZ,4.030019061383058e-14,4.030019061383058e-14
gammaZ,gammaZ,4.030019061383058e-14,0.0
S0u200,S0u200,0.0,0.03544842254520481
km,km,0.0,8.060038122766116e-14
nZu200,nZu200,0.0,0.0
nu200,nu200,0.0,0.0
gP,gP,-0.24813895781631276,-0.21269053527110796
gammaPM,gammaPM,-0.2835873803615176,0.17724211272606435
gammaC,gammaC,-0.3190358029066821,0.10634526763565473
gH,gH,-1.4533853243530344,0.07089684509044993
gC,gC,-1.5951790145338134,-0.07089684509032902
A0,A0,-2.0205600850761503,0.3544842254520078
gammaA,gammaA,-4.289259127968815,0.6735200283587705
